age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,uses_focus_apps,has_digital_wellbeing_enabled,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
51,Male,Student,4.573406644,TikTok,58,7.656190978,599.27,548.95,400.0,6.013503555,1.422817152,True,True,1800.0,2.577147264,540.33
56,Male,Education,4.830489598,TikTok,65,7.585548685,389.2,414.78,300.0,6.160463099,0.415718701,False,True,2900.0,18.65362144,437.64
35,Female,Finance,4.420698779,Instagram,56,6.145846517,366.11,367.18,1000.0,6.131895697,0.263445083,True,False,1604.3579766536966,11.516469934053918,627.65
24,Male,Health,3.470360291,TikTok,64,5.177588014,817.5,752.39,800.0,7.487344635,1.225349272,False,False,1300.0,6.404949945,790.85
55,Female,IT,3.39141781117192,TikTok,64,5.984844604,745.52,664.56,100.0,8.572747892,1.721830264,False,True,1400.0,16.93161725,646.47
65,Male,Finance,2.434694219,Telegram,76,5.671857352,355.16,426.61,900.0,7.927263959,2.594968922,True,False,2900.0,21.73168859,413.11
65,Female,Finance,6.905742164,Twitter,63,8.250906685,646.74,613.47,1000.0,6.300955715,0.106434635,False,False,1000.0,11.516469934053918,753.05
29,Female,Student,3.39141781117192,Telegram,63,4.250822568,412.94,406.5,500.0,5.225481889,0.667589813,False,True,3000.0,11.85826241,389.85
19,Female,IT,0.760900645,Twitter,54,4.320311216,427.19,458.34,900.0,6.672500784,1.137991375,False,False,3100.0,11.516469934053918,431.26
41,Male,Health,3.75509416,Twitter,69,6.226175854,669.3,661.09,300.0,5.737595277,1.185552659,False,False,200.0,12.81415243,550.47
56,Male,Student,4.811433527,TikTok,67,6.117819869,355.02,370.73,600.0,7.43120792,1.439644332,False,False,200.0,7.220334136,364.86
43,Male,Student,0.84808331,TikTok,56,9.01547602,404.03,355.12,200.0,7.419292854,0.461590331,False,True,2300.0,11.516469934053918,163.87
20,Female,Student,1.304050194,Telegram,60,5.56273913,440.34,464.74,900.0,7.036998633,2.194072587,False,True,1100.0,5.128741259,407.15
27,Female,Unemployed,1.79458796,Twitter,83,8.326730879,801.49,673.57,500.0,3.0,1.506703202,False,False,100.0,20.60950085,730.59
56,Male,Education,6.464117194,TikTok,63,6.110790675,850.9,729.72,1000.0,5.994973974,0.866485356,False,False,100.0,6.741426117,750.8
25,Female,Unemployed,6.386109442,Instagram,63,10.00980935,675.12,722.97,300.0,4.830196135,1.685222555,True,False,200.0,8.393314927,835.2
32,Male,Unemployed,7.305429236,Telegram,53,7.598556686,773.52,681.91,300.0,6.979325422,1.049655434,False,False,3100.0,1.018262645,733.18
28,Female,Unemployed,6.003949603,Telegram,55,5.357091234,427.82,360.77,500.0,7.926293793,1.771513928,False,False,3000.0,10.31012064,256.34
60,Female,Health,2.798090647,TikTok,53,5.131785996,840.42,697.46,900.0,5.509339819,0.929429942,True,True,1200.0,17.83826389,712.48
40,Female,Unemployed,6.082729188,TikTok,81,2.909127262,272.35,246.45,500.0,6.236316315,0.695909953,False,False,1900.0,17.07615039,448.19
58,Male,Health,5.916747495,Facebook,62,6.182058717,774.58,759.82,400.0,8.462708717,1.208906157,False,False,2000.0,7.960450708,618.35
54,Male,IT,2.914998908,Twitter,58,7.859296146,548.18,480.08,400.0,6.096119287,2.717548339,False,False,400.0,17.08581817,412.0
65,Other,Student,3.39141781117192,Telegram,60,5.154933868,866.8,771.17,1000.0,6.107890379,0.473586236,False,False,900.0,7.618952006,597.56
36,Male,Education,2.521508723,Twitter,59,4.056136353,652.08,560.16,200.0,7.830784511,0.722661523,False,True,1000.0,6.243354762,373.09
41,Male,Health,4.162968756,TikTok,83,5.355466504,278.44,266.6,600.0,7.308777852,1.2787132,True,False,800.0,18.91458623,207.83
37,Male,Finance,4.582577822,Instagram,64,7.030296738,491.55,427.8,300.0,8.868987054,0.935411423,True,True,2600.0,11.516469934053918,448.92
26,Other,Finance,3.75605556,TikTok,64,8.909201079,498.57,464.9,400.0,6.063207429,1.343397564,False,False,1200.0,25.40666842,466.97
52,Male,Student,4.817548326,TikTok,67,5.755006358,831.31,721.97,500.0,5.09008626,0.372748986,False,True,2800.0,3.670866441,772.88
33,Female,Education,6.23913747,Twitter,51,4.66926481,744.97,600.79,500.0,6.645952762,0.881054451,False,False,1700.0,4.30937998,711.06
37,Male,Health,3.39141781117192,Facebook,73,8.556177402,753.18,698.85,600.0,6.43592672,0.0686286,False,False,900.0,21.02485506,899.4
44,Male,IT,2.28751342,Instagram,63,5.542561331,711.55,652.18,900.0,5.08898097,1.1021931292763854,False,True,1300.0,18.14359162,682.19
28,Male,Student,5.457357864,TikTok,66,4.991989228,424.26,417.29,1000.0,4.904155851,0.369788749,False,False,1700.0,12.12062963,233.39
34,Female,Unemployed,2.322859004,Facebook,59,7.408030767,670.5,656.04,800.0,5.26345547,0.788160866,False,False,1604.3579766536966,4.736403114,688.74
65,Other,Finance,3.39141781117192,TikTok,61,11.03526756,530.59,546.98,500.0,5.783709781,1.854910123,True,False,2300.0,11.516469934053918,544.68
37,Female,Finance,3.857350275,Twitter,57,4.773498528,895.43,735.04,700.0,5.980854244,1.771814134,False,False,2300.0,12.82248255,716.27
24,Female,Finance,2.958615416,Twitter,59,11.01855562,773.43,689.31,300.0,6.947955012,0.71214764,True,False,200.0,11.02076402,754.04
36,Female,Unemployed,1.326875686,TikTok,59,4.516507207,392.55,334.39,400.0,7.263951567,1.1021931292763854,True,False,1000.0,11.516469934053918,358.19
56,Male,Education,1.602047583,Facebook,66,4.1649244,809.59,658.07,1000.0,5.28841636,1.1021931292763854,True,False,500.0,12.49870797,734.18
20,Female,IT,4.446788927,Facebook,66,6.365531328,402.09,366.15,1000.0,7.500619706,1.43339876,False,True,2800.0,11.13644369,268.63
25,Female,Finance,0.569582737,Instagram,63,7.300784379,571.12,547.64,400.0,4.82279068,1.350092451,False,False,2200.0,9.918187233,517.58
27,Female,Student,0.308321183,TikTok,71,7.328076034,627.98,611.12,400.0,7.273929761,1.321114923,False,True,1200.0,1.163929009,690.03
51,Female,Education,3.625477339,Telegram,52,6.516659033,366.94,308.81,1000.0,7.768630653,0.513153834,False,False,2700.0,10.69932473,259.18
42,Female,Unemployed,2.864149974,TikTok,59,8.674741604,631.81,538.62,1000.0,6.470647933,0.198072851,False,True,2600.0,10.28995884,617.66
65,Male,Education,2.597719717,Telegram,56,8.714970587,443.03,322.8,400.0,5.376262547,1.1021931292763854,False,False,2000.0,11.516469934053918,365.2
34,Female,Unemployed,3.068571867,Instagram,45,6.583358973,768.78,800.67,100.0,5.942956606,1.178419672,True,False,1400.0,6.224550807,824.1
23,Female,Education,1.962698608,TikTok,54,9.298284379,837.66,739.4,600.0,7.88485096,1.535944926,False,True,3000.0,0.880911471,742.12
23,Female,Education,1.109644324,Twitter,57,7.315699489,217.3,165.46,700.0,9.015664158,0.567886538,False,False,1604.3579766536966,11.516469934053918,21.74
30,Male,Education,0.889913605,Telegram,63,4.751656112,676.4,561.8,900.0,6.469870171,0.463422755,False,False,1000.0,9.099444973,518.98
61,Male,Education,3.227312434,TikTok,56,7.534729985,613.01,500.04,300.0,8.002006556,0.399300221,True,True,2100.0,18.33424395,209.14
28,Female,Finance,5.217126488,Instagram,56,7.281344159,682.24,639.26,600.0,7.313579253,1.1021931292763854,False,True,2600.0,11.63862634,736.61
39,Male,Student,5.372304351,Facebook,65,8.948369077,790.48,674.56,900.0,6.118095847,1.345214746,False,False,1400.0,11.516469934053918,845.48
18,Other,IT,3.563061014,Telegram,60,7.83695755,352.37,341.58,1000.0,5.669132696,1.1021931292763854,True,True,2000.0,2.637341401,373.63
48,Female,Student,3.489554261,TikTok,75,6.943956133,841.01,796.47,900.0,6.208502061,0.983869941,False,True,2400.0,11.77316216,810.17
58,Male,IT,3.39141781117192,TikTok,60,8.668548765,426.17,295.23,800.0,4.400458729,2.024131155,False,False,3100.0,21.38752142,288.11
40,Female,Health,3.115720159,Telegram,44,6.304519662,521.58,447.51,1000.0,5.951081591,1.014461793,False,False,800.0,5.352074303,439.22
23,Female,Finance,7.105771721,Instagram,62,8.130254191,882.3,803.8,900.0,5.391475196,1.417264202,False,False,2800.0,11.91343601,621.02
28,Male,Unemployed,1.424117323,Twitter,57,7.077611226,679.45,598.07,900.0,7.998622444,2.224737681,True,False,1200.0,5.105766637,610.73
48,Female,IT,1.88748584,Facebook,62,6.046483635,466.87,469.64,300.0,6.858896865,1.795352273,False,False,2500.0,0.084160415,473.55
47,Other,IT,5.177634058,TikTok,61,4.572911739,633.23,570.96,400.0,6.923110123,1.252691143,True,False,800.0,1.747613007,500.51
65,Female,Health,6.613202232,Instagram,56,12.0,466.38,395.42,1000.0,7.791150132,1.492243916,True,False,1500.0,22.56832077,311.01
26,Female,Unemployed,4.000194795,Instagram,54,5.287891671,551.44,518.65,200.0,6.833367792,0.266621038,False,False,2700.0,8.732624311,509.65
32,Female,Student,2.786967336,Instagram,65,5.47172818,719.89,691.52,1000.0,8.043886996,0.867212323,False,False,500.0,7.473575733,594.16
38,Male,Health,12.84418963,TikTok,58,6.93565645,490.72,374.7,600.0,5.493532562,0.538440108,False,True,1600.0,25.46868991,233.55
61,Male,Unemployed,5.243838275,Instagram,56,7.842132101,884.4,795.52,300.0,5.949110644,0.966159665,True,False,3100.0,16.15126445,977.0
19,Female,Student,3.95294072,TikTok,56,7.765615348,887.9,798.5,400.0,6.372049806,0.699470655,True,True,2500.0,11.516469934053918,824.66
18,Male,Student,4.115705991,Facebook,63,4.746395801,480.21,417.24,800.0,6.696254404,1.1021931292763854,False,False,1900.0,7.243037666,380.45
50,Female,IT,2.752978752,Twitter,56,7.427035686,766.41,611.52,900.0,8.317755952,0.194095979,False,False,1100.0,7.03116896,676.8
62,Male,Finance,15.11284083,Telegram,61,7.868429247,424.11,292.58,200.0,8.660669334,1.1021931292763854,False,False,1000.0,20.74135531,213.52
21,Male,Education,3.708383176,Instagram,67,7.214034398,632.31,564.62,500.0,5.3916263,1.332634794,False,False,1500.0,7.688702597,550.05
18,Female,IT,3.788548292,Telegram,58,6.392964559,715.61,759.16,600.0,5.869362832,0.771567922,True,False,2800.0,6.355509076,668.07
29,Male,Finance,3.39141781117192,Instagram,59,9.025114179,221.89,176.99,400.0,8.052002418,1.151245307,False,True,3000.0,7.368981941,167.41
38,Female,Unemployed,3.39141781117192,Telegram,69,4.361158528,272.91,230.96,500.0,3.439804263,1.847956437,True,True,900.0,2.440849008,373.85
34,Male,Finance,1.336695391,Twitter,62,9.25723528,689.57,576.58,700.0,7.548905429,1.04461806,False,False,1600.0,10.5414425,467.79
43,Other,Education,6.118275363,Facebook,45,6.547838679,491.01,469.45,500.0,4.134937456,0.319911247,False,False,1700.0,3.09344659,405.06
35,Male,Education,0.942524495,TikTok,50,5.202669722,294.32,283.85,600.0,5.979349603,1.238248596,True,False,800.0,18.42442017,217.68
34,Female,IT,4.326262846,Telegram,75,7.829448016,591.72,478.15,200.0,7.505453262,1.219432426,False,False,600.0,12.06542299,527.87
56,Male,Health,2.806041464,Telegram,57,9.045263331,209.02,130.4,600.0,5.609652571,1.1021931292763854,False,False,2100.0,11.516469934053918,87.4
57,Male,Unemployed,3.069039025,Facebook,62,6.344637852,224.65,29.85,1000.0,6.252690166,1.1021931292763854,True,False,1100.0,17.83677075,82.67
33,Female,Health,4.111957415,TikTok,61,6.491889522,341.67,310.36,700.0,6.787020398,2.404768578,False,True,3100.0,9.857936434,178.69
63,Female,IT,3.460245031,Telegram,63,10.60182867,804.56,689.35,900.0,6.313215405,1.1021931292763854,False,False,2200.0,24.64051814,640.86
18,Female,Finance,3.219740047,Twitter,58,4.903308964,662.52,546.86,800.0,6.048123183,1.231038428,False,False,2300.0,8.542964108,658.87
50,Female,Finance,5.365282306,Twitter,46,4.574624182,622.5,613.58,1000.0,3.0,0.253841735,False,True,200.0,8.495675733,637.0
25,Male,Student,0.999518433,Facebook,49,8.682993785,204.69,155.27,700.0,4.04605709,2.321596205,False,True,1800.0,11.516469934053918,205.57
38,Male,Education,3.889966057,Telegram,54,8.577170123,213.31,157.08,700.0,7.444336655,1.462981867,False,False,2300.0,0.040482454,264.32
40,Male,Student,3.39141781117192,Instagram,67,4.510077911,539.09,575.11,800.0,7.562216432,1.573681458,True,False,1800.0,11.516469934053918,357.99
53,Male,Education,3.123249712,TikTok,58,5.053732437,538.56,504.84,900.0,6.840660606,2.147394784,True,False,2600.0,13.48215306,438.97
51,Male,Finance,3.597558694,Facebook,55,4.901626169,557.25,492.35,700.0,6.257254937,0.929411022,False,True,1400.0,12.18098961,595.43
47,Female,Unemployed,1.5161841,Facebook,67,9.774009334,469.62,400.4,1000.0,4.354106413,0.857201438,False,False,2900.0,15.0298259,280.72
42,Male,Finance,0.133900039,Facebook,67,6.266927698,221.53,171.69,400.0,7.698974858,0.19010893,True,False,1200.0,18.61273542,27.82
35,Female,Health,5.023937823,Facebook,62,8.846828183,252.9,244.55,1000.0,6.522102782,1.1021931292763854,False,True,1000.0,11.516469934053918,229.13
57,Female,IT,5.380828394,Twitter,52,5.835329833,471.5,416.53,1000.0,4.660595183,0.743003659,False,False,700.0,6.884977723,317.24
31,Male,Health,2.611772189,Facebook,57,6.018696579,585.72,453.62,800.0,8.069525476,1.78983499,False,False,1700.0,3.002244532,499.66
36,Male,IT,2.195988389,Telegram,60,4.945624085,453.44,418.63,800.0,7.463944843,1.552899377,False,False,700.0,11.516469934053918,488.53
44,Male,Student,4.039023197,Facebook,59,7.281566869,313.38,244.3,900.0,7.748565565,0.644970403,False,False,2300.0,7.280904162,53.25
63,Male,Education,1.148457144,Telegram,55,7.078435929,746.75,655.35,900.0,8.816180543,2.550621225,True,True,2500.0,5.493788071,482.97
21,Female,Unemployed,1.656500601,Facebook,60,5.457363312,592.58,534.43,1000.0,8.189194651,0.524637548,False,True,3100.0,6.130925039,465.78
26,Male,Health,4.908136594,Twitter,65,8.507869431,378.31,400.55,200.0,6.21583487,1.738498378,False,False,600.0,11.04252361,224.99
53,Male,Education,1.937104948,Instagram,60,4.29286133,649.88,642.9,1000.0,5.497351709,0.284946675,False,False,200.0,16.03594389,476.85
34,Male,Finance,3.458902676,Twitter,52,4.191116934,638.18,616.54,100.0,7.662671696,1.394905834,False,True,100.0,14.57818374,489.03
49,Male,Finance,2.253126742,Facebook,51,7.213175889,484.23,493.85,700.0,4.483996822,1.785983439,False,False,2700.0,13.92875173,656.6
65,Female,IT,6.047104992,Telegram,61,5.166435254,625.63,568.48,200.0,5.404609695,1.803622147,False,False,2300.0,8.4223915,728.76
42,Female,Student,1.59192551,Telegram,65,4.330229231,855.31,770.77,600.0,9.021369777,1.057621765,True,True,2500.0,14.33749604,801.99
37,Female,Student,1.27257935,TikTok,63,7.376892336,319.0,325.2,700.0,8.868106833,0.724997256,False,False,1300.0,5.392902002,298.54
61,Male,Student,4.723316848,TikTok,66,6.736069522,411.95,350.04,100.0,5.181986381,0.567915145,False,True,2200.0,6.039860085,291.69
26,Male,Student,3.027974084,TikTok,54,7.929655873,478.92,419.74,400.0,8.469380878,0.288099511,False,False,2900.0,14.67201328,428.54
22,Female,Health,2.855333732,Facebook,51,8.504346222,741.92,672.28,500.0,4.156291483,0.629068406,False,False,1600.0,24.74930556,688.42
55,Female,Education,3.404980556,TikTok,61,0.13786894,674.57,676.75,200.0,6.113821114,0.916347149,False,False,2700.0,4.597441317,759.49
28,Male,Education,4.065816348,Twitter,55,10.42364366,312.44,223.97,200.0,6.318308501,1.403554295,True,False,1100.0,6.269485227,300.08
57,Male,Finance,2.389598621,Instagram,62,7.88115025,752.77,750.61,700.0,5.000205606,1.553618402,False,True,3100.0,14.24102242,929.59
64,Female,Unemployed,0.849561205,Facebook,72,7.562026228,267.94,361.48,1000.0,6.159403057,0.067132667,False,False,300.0,22.34009606,305.19
61,Male,Health,4.336993116,Instagram,56,3.958439272,511.73,458.58,200.0,6.278023135,1.1021931292763854,False,True,2300.0,2.71161111,379.28
61,Male,Education,2.122428017,Instagram,47,2.932840907,220.2,181.41,600.0,6.413707759,0.323700922,False,True,2800.0,11.516469934053918,401.92
58,Male,Health,6.647245519,Twitter,53,8.881306396,284.1,176.48,500.0,7.778297121,0.543282932,False,False,2500.0,10.94300758,291.63
57,Male,IT,4.160923551,Facebook,56,9.018341632,366.46,320.9,400.0,7.892633938,0.840476187,False,False,2100.0,7.977383862,155.27
42,Male,Unemployed,1.500607971,Instagram,58,6.210420914,587.51,531.62,700.0,7.785724209,1.293224856,False,False,1400.0,1.856872635,510.9
27,Male,Finance,3.578177816,Facebook,66,6.079173813,405.63,286.04,1000.0,3.231925589,1.15777605,False,True,1604.3579766536966,12.20628055,224.03
34,Male,Finance,3.39141781117192,Facebook,53,6.666323008,798.51,673.22,1000.0,7.74751985,1.11969391,True,False,400.0,17.301535,799.55
29,Female,Unemployed,3.30003675,Twitter,56,5.700728045,276.31,234.56,700.0,8.23099671,0.581806108,False,False,800.0,1.56575004,207.06
63,Male,Student,1.867028962,Facebook,64,4.459496497,628.78,620.06,500.0,7.301021231,1.373746838,True,True,200.0,4.791648925,764.19
25,Male,Education,5.341811649,Telegram,53,6.176065614,228.18,163.1,600.0,8.307136884,0.48594263,True,False,1300.0,11.6347984,39.59
22,Female,Education,5.584263777,TikTok,52,6.268083452,214.14,210.03,800.0,6.635777751,1.505067233,False,True,2100.0,11.516469934053918,374.83
38,Male,IT,3.418261143,Facebook,56,8.107351313,839.54,767.31,400.0,8.344657441,0.769460947,False,False,500.0,5.698787758,829.74
50,Female,Finance,3.39141781117192,Twitter,58,8.752131573,253.47,156.51,900.0,6.479749193,1.1021931292763854,False,True,1200.0,0.038219334,495.24413818722115
63,Female,Finance,3.39141781117192,Instagram,68,4.927772048,742.88,665.12,500.0,6.054791041,2.252110328,False,True,900.0,14.45986926,815.14
39,Male,Finance,0.122189186,Telegram,65,4.094374387,632.77,444.72,300.0,5.910883606,0.757080545,False,False,600.0,18.75914951,633.7
24,Female,Finance,2.720390521,Twitter,56,6.855879636,640.96,586.16,900.0,4.899394582,2.869391558,False,False,1000.0,6.299648801,501.55
50,Female,Unemployed,0.849602824,Telegram,53,5.021163996,709.86,659.85,800.0,6.65867201,0.523484619,False,False,100.0,15.69692329,778.43
41,Female,Student,1.362015721,Instagram,61,5.593502193,529.66,540.48,800.0,6.938424723,2.040739595,False,False,2800.0,8.115453821,405.19
59,Male,Unemployed,5.765851606,Instagram,77,6.407658045,506.56,417.79,600.0,6.68351771,1.041709366,False,False,1200.0,10.40894559,428.62
54,Male,IT,3.135836459,Twitter,57,4.474365038,586.98,551.24,200.0,6.066269802,1.607540145,False,False,1000.0,1.445666676,744.77
35,Other,Health,2.51526744,Telegram,42,5.829907521,218.4,187.5,600.0,8.740080426,1.082783377,False,False,2000.0,15.32671667,80.86
56,Male,Health,3.576858675,Twitter,54,3.530153823,804.15,717.57,700.0,7.115463923,0.469314987,False,False,2600.0,25.92055455,788.23
35,Female,Health,6.006541415,Instagram,68,8.800876332,738.17,586.56,900.0,5.524378492,1.95450719,False,True,2700.0,8.657335752,565.77
30,Male,IT,1.238110604,Instagram,50,8.195618466,777.23,696.39,900.0,4.451786928,1.804500711,False,False,900.0,11.516469934053918,561.91
32,Female,Finance,2.970248764,TikTok,55,5.453018816,367.21,303.2,1000.0,5.08358555,1.357003791,True,False,2400.0,19.24223356,366.92
29,Female,Student,4.120919423,TikTok,55,6.797658048,635.37,505.51,700.0,6.999715296,0.771516196,True,True,100.0,7.627716954,454.5
48,Male,Student,5.167968763,Twitter,60,7.391692951,603.79,624.99,700.0,4.938413539,1.791293247,True,False,2500.0,8.549040665,763.24
30,Female,Unemployed,2.070318064,TikTok,59,6.378463001,432.32,377.31,100.0,6.749314886,1.1021931292763854,False,False,1300.0,12.9535718,444.37
53,Female,IT,4.084471798,TikTok,70,5.71784465,847.38,705.08,800.0,8.24546662,2.198544277,True,False,2800.0,16.55128165,634.5
49,Female,Education,2.608936914,TikTok,70,7.467158432,749.71,662.8,800.0,6.935027438,2.42946116,False,False,2300.0,14.182128,582.32
59,Male,Education,3.423750504,Instagram,59,7.741878125,450.21,370.71,1000.0,7.893268907,1.299088243,False,False,2100.0,10.85894306,156.32
49,Female,Student,3.045456994,Facebook,47,7.661338653,441.47,435.37,100.0,7.315753434,0.379474772,False,False,2200.0,8.879895182,378.32
53,Female,Education,1.739505718,TikTok,55,8.161737691,532.46,541.71,700.0,7.744699868,1.307732108,True,False,2400.0,25.69091037,454.66
25,Male,Finance,2.324451555,TikTok,57,4.912996765,869.02,870.87,600.0,6.92979676,1.071770686,False,False,900.0,1.277954362,880.46
55,Male,Health,1.266424669,Facebook,58,6.944044403,811.0,694.65,900.0,7.721353032,1.045834624,False,False,1700.0,19.28048587,761.92
36,Female,Education,3.115709439,Facebook,55,8.46555828,241.49,162.43,200.0,7.037036725,2.003045478,True,False,2600.0,20.25432325,268.95
21,Male,IT,3.698410893,Twitter,58,6.62081939,775.89,632.99,800.0,5.798331749,1.126154297,False,False,700.0,5.600443991,631.39
50,Female,Student,4.4861948,Instagram,63,10.54429553,295.92,330.34,600.0,5.942528248,1.41356415,False,False,2100.0,3.438431882,384.79
30,Female,Education,1.064504245,Telegram,64,9.335775797,527.74,517.04,300.0,9.624433043,1.1021931292763854,True,False,2100.0,13.81663324,434.43
34,Male,Finance,3.39141781117192,Telegram,52,8.126573774,495.04,435.21,600.0,6.991261921,0.11901925,True,False,2600.0,17.14765543,365.56
47,Female,Student,1.916884315,TikTok,56,6.279781379,660.75,675.2,600.0,6.688823626,0.587834772,False,False,1700.0,1.415949622,819.68
27,Other,Finance,0.673588331,Facebook,45,5.71776877,694.69,622.69,1000.0,6.180094107,1.110779983,False,False,400.0,23.46724918,783.89
43,Male,Unemployed,6.164068142,Twitter,60,6.915831367,698.1,658.25,400.0,7.847650747,1.011222813,True,False,700.0,17.20546335,436.42
49,Female,Education,3.374539731,Instagram,55,6.280490272,378.02,407.35,900.0,7.0759989,2.459512221,False,False,1300.0,15.72363991,285.79
